Backup job summary
 Report generated on Nov 10, 2022, 9:33:02 AM

Job Details
"Job ID","Server","Agent","HyperVisor Type","Subclient","Type","Backup Type","Application Size","Media Size","Job status","Failure Reason","Throughput (GB/Hour)","VM Operating System","VM Datastore","Retain Data Until"
"2564046","avmedptccs01_Failover","SQL Server","N/A","CvFailoverLogShipping","Backup","Transaction Log","98304610","98525096","Completed","","27.470","","","Nov 24, 2022, 09:15:09 AM"
"2564044","ahp0218","SQL Server","N/A","default","Backup","Transaction Log","0","0","Completed","","'-1.000","","","Nov 10, 2022, 09:00:14 AM"
"2564043","ahppdwanlysql01","SQL Server","N/A","default","Backup","Transaction Log","14615504","324897","Completed","","3.060","","","Nov 24, 2022, 09:00:14 AM"
"2564042","ahppdworahyp11","SQL Server","N/A","default","Backup","Transaction Log","23463840","1355584","Completed","","3.030","","","Nov 24, 2022, 09:00:14 AM"
"2564041","ahppdwstepwse01","SQL Server","N/A","default","Backup","Transaction Log","96600674","18214858","Completed","","1.120","","","Nov 24, 2022, 09:00:14 AM"
"2564040","ahptdwstepwse01","SQL Server","N/A","default","Backup","Transaction Log","2359540","30265","Completed","","0.660","","","Nov 24, 2022, 09:00:14 AM"
"2564039","ahpddwstepwse01","SQL Server","N/A","default","Backup","Transaction Log","3539310","45504","Completed","","0.910","","","Nov 24, 2022, 09:00:14 AM"
"2564038","ahppdwmoveit01","SQL Server","N/A","default","Backup","Transaction Log","18809198","4748042","Completed","","0.280","","","Nov 24, 2022, 09:00:14 AM"
"2564037","ahptdwmoveit01","SQL Server","N/A","default","Backup","Transaction Log","14221556","4035846","Completed","","3.180","","","Nov 24, 2022, 09:00:14 AM"
"2564036","ahptdworahyp11","SQL Server","N/A","default","Backup","Transaction Log","22480800","1043182","Completed","","1.840","","","Nov 24, 2022, 09:00:14 AM"
"2564035","ahppdwintvsql03","SQL Server","N/A","default","Backup","Transaction Log","137890062","30713806","Completed","","6.330","","","Nov 24, 2022, 09:00:13 AM"
"2564034","ahppdwaxmvsql03","SQL Server","N/A","default","Backup","Transaction Log","10748392","153235","Completed","","3.280","","","Nov 24, 2022, 09:00:13 AM"
"2564033","ahppdwpsfvsql03","SQL Server","N/A","default","Backup","Transaction Log","67961442","28137556","Completed","","18.990","","","Nov 24, 2022, 09:00:13 AM"
"2564032","ahp0430","SQL Server","N/A","default","Backup","Transaction Log","0","0","Completed","","'-1.000","","","Nov 10, 2022, 09:00:13 AM"
"2564031","AHPPDWINFA01","SQL Server","N/A","default","Backup","Transaction Log","55379994","10244465","Completed","","0.230","","","Nov 24, 2022, 09:00:13 AM"
"2564030","ahppdwvrnssql01","SQL Server","N/A","default","Backup","Transaction Log","4719080","61426","Completed","","0.070","","","Nov 24, 2022, 09:00:13 AM"
"2564029","AHPPDWINTVSQL02","SQL Server","N/A","06:00 AM backup","Backup","Transaction Log","117571950","33386352","Completed","","35.840","","","Nov 24, 2022, 09:00:13 AM"
"2564028","AHPPDWINTVSQL02","SQL Server","N/A","default","Backup","Transaction Log","13501758","191814","Completed","","2.260","","","Nov 24, 2022, 09:00:13 AM"
"2564027","AHPPDWHRPVSQL02","SQL Server","N/A","06:00 AM backup","Backup","Transaction Log","0","0","Completed","","'-1.000","","","Nov 10, 2022, 09:00:13 AM"
