c808cdc3-6565-4d79-a324-41d7a7417893
SubClient Configuration Information
Generated on: Feb 23, 2023, 1:17:18 AM

Subclient Properties
"Company","Client","Agent","Instance","Backup Set","Subclient"
"CommServ","172.18.152.94","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","172.18.152.95","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","acuprint","SQL Server","ACUPRINT","defaultBackupSet","default"
"CommServ","acuprint","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahp0161","HP-UX File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahp0163","HP-UX File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahp0178","HP-UX File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahp0178_old","HP-UX File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahp0212","SQL Server","AHP0212","defaultBackupSet","default"
"CommServ","ahp0212","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahp0213","SQL Server","AHP0213","defaultBackupSet","default"
"CommServ","ahp0213","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","AHP0216","SQL Server","AHP0216","defaultBackupSet","default"
"CommServ","AHP0216","Virtual Server","VMInstance","defaultBackupSet","default"
"CommServ","ahp0218","SQL Server","AHP0218","defaultBackupSet","default"
"CommServ","ahp0219","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahp0330","Virtual Server","VMInstance","defaultBackupSet","default"
"CommServ","ahp0330","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahp0331","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahp0394","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahp0395","SQL Server","AHP0395","defaultBackupSet","default"
"CommServ","ahp0395","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahp0396","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahp0397","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahp0398","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahp0411","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahp0412","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahp0414","SQL Server","AHP0414","defaultBackupSet","default"
"CommServ","ahp0414","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahp0416","SQL Server","AHP0416","defaultBackupSet","default"
"CommServ","ahp0416","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahp0418","SQL Server","AHP0418","defaultBackupSet","default"
"CommServ","ahp0418","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahp0430","SQL Server","AHP0430","defaultBackupSet","default"
"CommServ","ahp0430","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahp0432","SQL Server","AHP0432","defaultBackupSet","default"
"CommServ","ahp0432","SQL Server","AHP0432\ACUITYDR","defaultBackupSet","default"
"CommServ","ahp0432","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahp0435","SQL Server","AHP0435","defaultBackupSet","default"
"CommServ","ahp0435","SQL Server","AHP0435\AHP0435","defaultBackupSet","default"
"CommServ","ahp0435","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahp0457","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahp0457_2","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahp0458","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahp0469","SQL Server","AHP0469","defaultBackupSet","default"
"CommServ","ahp0469","SQL Server","AHP0469\MSSQLSERVER2","defaultBackupSet","default"
"CommServ","ahp0469","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahp0479","SQL Server","AHP0479","defaultBackupSet","default"
"CommServ","ahp0479","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahp0480","SQL Server","AHP0480","defaultBackupSet","default"
"CommServ","ahp0480","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahp0489","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahp0493","SQL Server","AHP0493","defaultBackupSet","default"
"CommServ","ahp0493","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahp0494","SQL Server","AHP0494","defaultBackupSet","default"
"CommServ","ahp0494","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahp0498","Linux File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahp0500","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahp0501","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahp0603","SQL Server","AHP0603","defaultBackupSet","default"
