SubClient Configuration Information
Generated on: Feb 24, 2023, 5:29:07 AM

Subclient Retention Details
"Client","Agent","Instance","Subclient","Retention Policy","Primary Retention"
"ahp0163","HP-UX File System","","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHP0192","Virtual Server","VMInstance","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahp0213","SQL Server","AHP0213","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahp0213","Windows File System","","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHP0216","SQL Server","AHP0216","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHP0216","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHP0219","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHP0227","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahp0330","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahp0330","Windows File System","","default","SP_PTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahp0331","Windows File System","","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahp0414","SQL Server","AHP0414","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahp0414","Windows File System","","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHP0417","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahp0430","SQL Server","AHP0430","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahp0430","Windows File System","","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahp0435","SQL Server","AHP0435","default","",""
"ahp0435","SQL Server","AHP0435\AHP0435","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahp0435","Windows File System","","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHP0460","Virtual Server","VMInstance","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahp0489","Windows File System","","default","SP_FTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahp0493","SQL Server","AHP0493","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahp0493","Windows File System","","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahp0494","SQL Server","AHP0494","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahp0494","Windows File System","","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHP0704","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHP0741","Virtual Server","VMInstance","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahp0751","SQL Server","AHP0751","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahp0751","SQL Server","AHP0751","EXP_PROD","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahp0751","Windows File System","","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHP0752","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
